META_experiment;META_run;META_CycleStart;META_CycleEnd;MEAS_KM_Zyklus- Zeit Z [s];MEAS_KM_Plast- Zeit Z [s];MEAS_KM_Spritz- Zeit Z [s];MEAS_KM_Umsch MasDrZ [bar];MEAS_KM_Max MasDr [bar];MEAS_KM_Masse- Polster [cm³];MEAS_KM_Max WkzDr1 [bar];MEAS_KM_Max F WkzDr1 [bar];MEAS_KM_Fläche WkzDr1 [bar*s];MEAS_KM_Max F Massedr [bar];MEAS_KM_Fläche Massedr [bar*s];MEAS_KM_Max F Leistung [kW];MEAS_KM_Fläche Leistung [Wh];MEAS_KM_Fläche Spritzweg [mm*s];MEAS_KM_Max F Spritzge [mm/s];MEAS_KM_Fläche Spritzge [mm/s*s];MEAS_KM_Max StauDr [bar];MEAS_KM_Energie ZylHtg [Wh];MEAS_KM_Energie HptAntr [Wh];MEAS_KM_Energie PeriAuto [Wh];MEAS_KM_Energie Gesamt [Wh]
7;4;768;772;41.84;13.14;2.0;842;959;8.26;1;1.0;30.0;958;11556;4.769;2.1;268.0;52.0;104.9;573.0;15.9;22.1;6.9;44.9
8;1;779;783;41.21;13.24;1.37;799;1002;8.18;1;1.0;30.0;1000;11215;7.454;2.3;226.5;78.0;105.2;574.0;15.5;22.2;6.9;44.6
8;2;779;783;41.21;13.2;1.37;800;1003;8.22;1;1.0;30.0;1001;11214;7.461;2.3;227.1;78.0;105.1;574.0;17.7;22.2;6.9;46.8
8;3;779;783;41.21;13.24;1.37;800;1003;8.2;1;1.0;30.0;998;11215;7.458;2.3;226.8;78.0;105.2;574.0;16.5;22.2;6.9;45.6
8;4;779;783;41.21;13.2;1.37;799;1003;8.2;1;1.0;30.0;999;11215;7.456;2.3;226.7;78.0;105.1;575.0;15.5;22.2;6.9;44.6
9;1;788;792;40.91;13.15;1.06;774;1086;8.2;1;1.0;30.0;1086;11037;10.869;2.5;207.0;104.0;105.2;574.0;16.5;22.4;6.9;45.8
9;2;788;792;40.9;13.21;1.06;771;1086;8.17;1;1.0;30.0;1085;11033;10.864;2.5;206.6;104.0;105.3;572.0;15.6;22.4;6.9;44.9
9;3;788;792;40.9;13.14;1.06;772;1086;8.17;1;1.0;30.0;1086;11035;10.859;2.5;206.7;104.0;105.2;572.0;18.6;22.4;6.9;47.9
9;4;788;792;40.9;13.21;1.06;772;1086;8.16;1;1.0;30.0;1085;11036;10.864;2.5;206.5;104.0;105.3;575.0;15.3;22.4;6.9;44.6
10;1;801;805;41.84;13.3;2.0;771;882;7.51;1;1.0;30.0;881;11431;4.383;2.0;257.2;52.0;105.6;575.0;19.7;21.5;6.3;47.5
10;2;801;805;41.83;13.46;2.0;773;882;7.62;1;1.0;30.0;882;11434;4.399;2.0;258.5;52.0;105.5;576.0;16.9;21.4;7.0;45.3
10;3;801;805;41.83;13.41;2.0;772;882;7.62;1;1.0;30.0;882;11430;4.389;1.9;258.6;52.0;105.5;573.0;18.1;21.5;7.0;46.6
10;4;801;805;41.83;13.43;2.0;774;883;7.67;1;1.0;30.0;883;11433;4.401;1.9;259.2;52.0;105.5;576.0;18.5;21.4;7.0;46.9
11;1;813;817;41.21;13.51;1.37;738;927;7.62;1;1.0;30.0;925;11128;6.888;2.1;218.1;78.0;105.7;575.0;18.7;21.6;7.0;47.3
11;2;813;817;41.2;13.46;1.37;736;925;7.57;1;1.0;30.0;925;11126;6.874;2.1;217.5;78.0;105.8;573.0;18.4;21.5;6.9;46.8
11;3;813;817;41.21;13.53;1.37;739;929;7.6;1;1.0;30.0;929;11126;6.918;2.1;218.0;78.0;105.7;573.0;19.7;21.5;6.9;48.1
11;4;813;817;41.2;13.51;1.37;736;926;7.58;1;1.0;30.0;925;11125;6.891;2.1;217.6;78.0;105.8;576.0;18.4;21.5;7.0;46.9
12;1;825;829;40.9;13.45;1.06;715;972;7.59;1;1.0;30.0;970;10965;9.708;2.3;198.1;104.0;105.8;575.0;16.9;21.6;6.9;45.4
12;2;825;829;40.89;13.51;1.06;715;976;7.6;1;1.0;30.0;974;10966;9.759;2.3;198.2;104.0;105.8;576.0;19.7;21.6;6.9;48.2
12;3;825;829;40.89;13.53;1.06;714;970;7.56;1;1.0;30.0;970;10962;9.7;2.3;197.7;104.0;105.8;573.0;18.1;21.6;6.9;46.6
12;4;825;829;40.89;13.58;1.06;717;972;7.57;1;1.0;30.0;972;10965;9.713;2.3;197.8;104.0;105.8;576.0;18.0;21.5;6.9;46.4
13;1;841;845;41.57;13.83;2.0;706;810;7.01;1;1.0;30.0;807;11330;4.032;1.8;249.5;52.0;106.1;574.0;20.3;20.8;7.0;48.1
13;2;841;845;41.57;13.81;2.0;705;809;6.98;1;1.0;30.0;806;11327;4.027;1.8;249.1;52.0;106.1;574.0;21.6;20.7;7.0;49.3
13;3;841;845;41.57;13.93;2.0;705;809;6.97;1;1.0;30.0;806;11327;4.03;1.8;248.8;52.0;106.1;574.0;21.0;20.7;7.0;48.7
13;4;841;845;41.57;13.95;2.0;705;810;6.94;1;1.0;30.0;806;11329;4.032;1.8;248.6;52.0;106.1;573.0;20.5;20.8;7.0;48.3
14;1;853;857;40.94;13.91;1.37;676;855;6.91;1;1.0;30.0;852;11060;6.354;2.0;207.8;78.0;106.4;574.0;20.3;20.9;6.8;48.0
14;2;853;857;40.94;13.94;1.37;677;851;6.95;1;1.0;30.0;850;11058;6.344;2.0;208.5;78.0;106.3;574.0;20.6;20.8;6.8;48.2
14;3;853;857;40.94;13.88;1.37;676;851;6.93;1;1.0;30.0;849;11057;6.344;2.0;208.2;78.0;106.4;577.0;17.9;20.7;6.8;45.4
14;4;853;857;40.94;13.84;1.37;678;854;6.97;1;1.0;30.0;852;11059;6.358;2.0;208.7;78.0;106.3;573.0;20.1;20.9;6.9;47.9
15;1;861;865;40.63;13.83;1.06;663;888;6.94;1;1.0;30.0;885;10915;8.785;2.1;188.7;104.0;106.4;577.0;21.1;20.8;6.9;48.8
15;2;861;865;40.63;13.87;1.06;665;889;6.99;1;1.0;30.0;886;10917;8.809;2.1;189.5;104.0;106.4;576.0;20.9;20.8;6.8;48.5
15;3;861;865;40.63;13.82;1.06;662;888;6.93;1;1.0;30.0;886;10916;8.775;2.1;188.5;104.0;106.4;573.0;20.6;20.8;6.8;48.2
15;4;861;865;40.63;13.87;1.06;662;888;6.94;1;1.0;30.0;885;10914;8.771;2.1;188.7;104.0;106.4;576.0;20.1;20.7;6.8;47.6
16;1;893;897;41.2;13.01;1.37;663;845;6.09;1;1.0;30.0;844;10522;6.289;2.0;195.3;78.0;107.2;577.0;21.1;20.1;6.9;48.1
16;2;893;897;40.95;12.99;1.37;665;848;6.12;1;1.0;30.0;846;10524;6.303;2.0;195.8;78.0;107.2;576.0;20.0;20.1;6.9;47.0
16;3;893;897;41.2;12.89;1.37;663;846;6.06;1;1.0;30.0;844;10523;6.293;2.0;194.9;78.0;107.3;577.0;21.2;20.0;6.8;48.0
16;4;893;897;41.2;12.95;1.37;663;847;6.05;1;1.0;30.0;844;10524;6.292;2.0;194.8;78.0;107.3;574.0;21.1;20.2;6.8;48.1
17;1;910;914;41.19;8.94;1.37;678;853;6.98;1;1.0;30.0;852;10795;6.358;2.0;209.0;78.0;106.3;574.0;19.8;21.0;6.9;47.7
17;2;910;914;41.2;8.96;1.37;678;854;6.99;1;1.0;30.0;852;10797;6.348;2.0;209.0;78.0;106.3;576.0;19.4;21.3;6.8;47.5
17;3;910;914;41.25;8.98;1.37;677;852;6.95;1;1.0;30.0;851;10796;6.341;2.0;208.6;78.0;106.3;576.0;19.7;21.3;6.8;47.8
17;4;910;914;41.2;8.99;1.37;677;852;6.95;1;1.0;30.0;850;10793;6.344;2.0;208.5;78.0;106.3;577.0;19.5;21.4;6.8;47.7
