META_experiment,META_run,META_JobCycleCounter_global,META_CycleStart,META_CycleEnd,SET_CylinderTemperature,SET_HotRunner/Nozzle,SET_InjectionSpeed,SET_UP,SET_MoldTemperature,MEAS_EM77_BarrelTemperatureZone1,MEAS_EM77_BarrelTemperatureZone2,MEAS_EM77_BarrelTemperatureZone3,MEAS_EM77_BarrelTemperatureZone4,MEAS_EM77_BarrelTemperatureZone5,MEAS_EM77_BarrelTemperatureZone6,MEAS_EM77_CushionStroke,MEAS_EM77_CushionVolume,MEAS_EM77_CycleTime,MEAS_EM77_DosingTime,MEAS_EM77_FlowIndex,MEAS_EM77_HoldHydraulicPressureMaximum,MEAS_EM77_HoldSpecificPressureMaximum,MEAS_EM77_HydraulicPressureMaximum,MEAS_EM77_InjectionSpeedAverage,MEAS_EM77_InjectionSpeedMaximum,MEAS_EM77_InjectionTime,MEAS_EM77_PlastificationHydraulicPressureMaximum,MEAS_EM77_PlastificationRotationalSpeedMaximum,MEAS_EM77_PlastificationSpecificPressureMaximum,MEAS_EM77_SpecificPressureMaximum,MEAS_EM77_TransferSpecificPressure,MEAS_EM77_TransferStroke,MEAS_EM77_TransferVolume
13,4,844.0,841,845,260,260,50,13.5,60,60.0,244.0,250.0,255.0,261.0,260.0,7.2182,6.94,41570.0,13950.0,11329.0,698627.0,699.0,809106.0,51.1,50.0,2000.0,573482.0,203.4,573.0,809.0,705.0,14.017,13.49
14,1,853.0,853,857,260,260,75,13.5,60,60.0,244.0,250.0,255.0,261.0,260.0,7.1847,6.91,40940.0,13910.0,11060.0,670207.0,670.0,854948.0,74.9,75.0,1370.0,573939.0,203.4,574.0,855.0,676.0,14.0199,13.49
14,2,854.0,853,857,260,260,75,13.5,60,60.0,245.0,250.0,255.0,260.0,260.0,7.2259,6.95,40940.0,13940.0,11058.0,670207.0,670.0,851278.0,74.8,75.0,1370.0,573939.0,203.6,574.0,851.0,677.0,14.02,13.49
14,3,855.0,853,857,260,260,75,13.5,60,60.0,245.0,250.0,255.0,260.0,260.0,7.2259,6.95,40940.0,13880.0,11057.0,670207.0,670.0,851278.0,74.9,75.0,1370.0,577141.0,203.4,577.0,851.0,677.0,14.02,13.49
14,4,856.0,853,857,260,260,75,13.5,60,60.0,245.0,250.0,255.0,260.0,260.0,7.2487,6.97,40940.0,13840.0,11059.0,671122.0,671.0,851278.0,74.8,75.0,1370.0,573482.0,203.4,573.0,851.0,678.0,14.0199,13.49
15,1,861.0,861,865,260,260,100,13.5,60,60.0,245.0,250.0,255.0,260.0,260.0,7.2122,6.94,40630.0,13830.0,10915.0,656455.0,656.0,888409.0,96.9,100.0,1060.0,576683.0,203.4,577.0,888.0,663.0,14.0228,13.49
15,2,862.0,861,865,260,260,100,13.5,60,60.0,244.0,250.0,255.0,260.0,260.0,7.2122,6.94,40630.0,13870.0,10917.0,657827.0,658.0,888409.0,96.7,100.0,1060.0,576226.0,203.4,576.0,888.0,663.0,14.0228,13.49
15,3,863.0,861,865,260,260,100,13.5,60,60.0,245.0,250.0,255.0,260.0,260.0,7.2055,6.93,40630.0,13820.0,10916.0,655072.0,655.0,887952.0,96.9,100.0,1060.0,573482.0,203.4,573.0,888.0,662.0,14.0228,13.49
15,4,864.0,861,865,260,260,100,13.5,60,60.0,245.0,250.0,255.0,260.0,260.0,7.2055,6.93,40630.0,13870.0,10914.0,655540.0,656.0,887952.0,96.9,100.0,1060.0,576226.0,203.4,576.0,888.0,662.0,14.0228,13.49
16,1,893.0,893,897,260,260,75,13.5,60,59.0,244.0,249.0,255.0,260.0,260.0,6.3338,6.09,41200.0,13010.0,10522.0,655540.0,656.0,844864.0,75.4,75.0,1370.0,576683.0,203.4,577.0,845.0,663.0,14.0199,13.49
16,2,894.0,893,897,260,260,75,13.5,60,59.0,244.0,250.0,255.0,260.0,260.0,6.3629,6.12,40950.0,12990.0,10524.0,657370.0,657.0,848076.0,75.4,75.0,1370.0,576226.0,203.4,576.0,848.0,665.0,14.0199,13.49
16,3,895.0,893,897,260,260,75,13.5,60,60.0,244.0,250.0,255.0,260.0,260.0,6.3629,6.12,41200.0,12890.0,10523.0,656912.0,657.0,848076.0,75.5,75.0,1370.0,576683.0,203.6,577.0,848.0,665.0,14.0199,13.49
16,4,896.0,893,897,260,260,75,13.5,60,60.0,244.0,250.0,255.0,260.0,260.0,6.2851,6.05,41200.0,12950.0,10524.0,655997.0,656.0,847151.0,75.4,75.0,1370.0,574397.0,203.4,574.0,847.0,663.0,14.0199,13.49
17,1,910.0,910,914,260,260,75,13.5,60,60.0,245.0,250.0,255.0,260.0,260.0,7.2577,6.98,41190.0,8940.0,10795.0,671122.0,671.0,852661.0,74.8,75.0,1370.0,573939.0,302.4,574.0,853.0,678.0,14.02,13.49
17,2,911.0,910,914,260,260,75,13.5,60,60.0,245.0,250.0,255.0,260.0,260.0,7.2619,6.99,41200.0,8960.0,10797.0,670665.0,671.0,853575.0,74.8,75.0,1370.0,576226.0,302.4,576.0,854.0,678.0,14.02,13.49
17,3,912.0,910,914,260,260,75,13.5,60,60.0,245.0,250.0,255.0,260.0,260.0,7.2277,6.95,41250.0,8980.0,10796.0,670665.0,671.0,852193.0,74.8,75.0,1370.0,576226.0,302.4,576.0,852.0,677.0,14.02,13.49
17,4,913.0,910,914,260,260,75,13.5,60,60.0,245.0,250.0,255.0,260.0,260.0,7.2217,6.95,41200.0,8990.0,10793.0,670207.0,670.0,851735.0,74.8,75.0,1370.0,577141.0,302.4,577.0,852.0,677.0,14.02,13.49
